userid,version,sum_gamerounds,retention_1,retention_7
337,gate_30,38,1,0
377,gate_40,165,1,0
488,gate_40,179,1,1
540,gate_40,187,1,1
1574,gate_40,108,1,1
1587,gate_40,153,1,0
2132,gate_40,30,1,0
2179,gate_30,39,1,0
2218,gate_30,305,1,1
2382,gate_30,73,1,0
2451,gate_30,204,1,1
2482,gate_30,108,1,1
2695,gate_40,45,1,0
2729,gate_30,105,0,1
3132,gate_40,80,1,1
3204,gate_40,53,1,1
3413,gate_30,37,1,0
3696,gate_30,50,0,0
3993,gate_40,202,1,1
4283,gate_30,103,0,0
4916,gate_40,49,1,0
4929,gate_30,386,1,1
5661,gate_30,136,1,0
5712,gate_30,105,1,1
5943,gate_40,76,0,0
6099,gate_40,138,0,0
6151,gate_30,94,1,1
6695,gate_40,127,1,0
6930,gate_40,297,1,1
7124,gate_40,108,1,1
7253,gate_30,45,1,0
7321,gate_40,33,0,0
7527,gate_30,80,0,0
7767,gate_30,139,1,1
8063,gate_30,50,1,0
9308,gate_40,95,1,0
10200,gate_40,106,0,1
10636,gate_30,246,1,1
10884,gate_40,49,1,0
11093,gate_40,54,1,1
11127,gate_30,66,1,1
11411,gate_30,122,1,1
11420,gate_30,75,1,0
12163,gate_30,47,1,0
12523,gate_30,31,1,0
13320,gate_40,34,0,0
13321,gate_40,56,0,0
13429,gate_30,60,0,1
13633,gate_30,67,0,0
13664,gate_30,42,1,1
13721,gate_40,65,1,0
13969,gate_40,42,0,0
14218,gate_30,129,0,1
14296,gate_30,37,0,0
15157,gate_40,38,0,0
15294,gate_30,51,1,1
16638,gate_40,51,1,0
17085,gate_40,33,0,0
17270,gate_30,49,1,0
17477,gate_30,46,1,1
17506,gate_40,127,1,1
17947,gate_30,104,1,1
18213,gate_40,36,1,0
18374,gate_40,53,1,0
18756,gate_30,38,1,1
18849,gate_40,74,1,1
19490,gate_30,72,1,0
19728,gate_40,79,1,1
19746,gate_30,65,0,1
20465,gate_30,108,1,0
20721,gate_40,99,0,1
21137,gate_40,91,1,0
21228,gate_40,149,1,1
21442,gate_40,68,1,0
22167,gate_40,277,1,1
22299,gate_40,493,1,1
22935,gate_30,274,1,1
23023,gate_40,32,0,1
23084,gate_40,85,1,1
23525,gate_40,191,1,1
23702,gate_40,115,1,0
23748,gate_40,45,1,0
24222,gate_30,134,1,1
25332,gate_30,152,1,1
25941,gate_40,73,1,0
26083,gate_30,100,1,1
26243,gate_40,250,1,1
26502,gate_30,147,1,1
26586,gate_30,391,1,0
27759,gate_30,61,1,1
27849,gate_40,61,1,0
27851,gate_40,75,1,0
27979,gate_30,75,0,0
28025,gate_30,57,1,0
28091,gate_30,35,1,0
28497,gate_40,77,1,1
29455,gate_30,51,1,1
29522,gate_40,197,0,1
29753,gate_40,69,1,0
29999,gate_30,260,1,1
30348,gate_30,48,1,1
30631,gate_30,61,0,1
31073,gate_30,270,1,1
31151,gate_30,59,0,0
31200,gate_30,141,1,0
31214,gate_30,53,0,1
31812,gate_30,37,1,0
31903,gate_30,467,1,1
32642,gate_30,40,0,0
33445,gate_30,77,0,1
33639,gate_40,45,1,0
33703,gate_40,43,1,0
33954,gate_40,30,1,0
33967,gate_30,33,1,1
34016,gate_40,47,1,0
34022,gate_40,72,0,1
34447,gate_40,93,1,1
34469,gate_30,222,1,1
34597,gate_40,334,1,1
35027,gate_40,58,1,0
35056,gate_30,84,1,0
35458,gate_40,56,0,0
35460,gate_30,43,1,0
35730,gate_30,50,1,0
36003,gate_30,48,1,0
36047,gate_40,85,1,1
36279,gate_30,41,1,0
36356,gate_30,303,1,1
36560,gate_40,48,1,0
36664,gate_40,51,0,1
36761,gate_40,134,1,1
37303,gate_30,177,1,1
37740,gate_30,39,1,1
38232,gate_30,216,1,1
38249,gate_40,30,1,0
39069,gate_30,227,0,0
39494,gate_30,87,1,0
39531,gate_30,71,1,0
39774,gate_40,567,1,1
39932,gate_30,55,1,1
40233,gate_40,78,1,0
40378,gate_30,552,1,1
40427,gate_30,96,1,0
40630,gate_40,99,1,0
40653,gate_30,107,1,0
41795,gate_30,136,1,1
42407,gate_30,45,0,1
42994,gate_40,113,1,1
43368,gate_40,32,0,0
43744,gate_30,141,1,0
44400,gate_40,95,1,0
44493,gate_40,339,1,1
45066,gate_30,85,1,0
45083,gate_40,54,0,0
45698,gate_30,452,1,1
46347,gate_30,57,0,0
46624,gate_40,148,1,1
46629,gate_40,57,1,0
46806,gate_30,163,1,1
46919,gate_40,47,1,0
46938,gate_30,54,0,0
47816,gate_30,220,1,1
47822,gate_40,63,1,1
48201,gate_40,84,1,1
48631,gate_40,60,0,0
48658,gate_30,216,1,1
48942,gate_30,290,1,1
50158,gate_40,87,1,1
50237,gate_40,86,1,0
50547,gate_30,356,0,0
50850,gate_30,34,1,1
51155,gate_30,34,0,0
51295,gate_30,117,1,1
51430,gate_30,34,1,0
51823,gate_40,54,1,1
51970,gate_40,76,0,1
52100,gate_40,55,1,0
53373,gate_40,298,1,1
53393,gate_30,338,1,1
53996,gate_40,115,1,1
54069,gate_30,170,1,1
54162,gate_30,174,1,1
54754,gate_30,70,1,0
55213,gate_40,141,1,1
55250,gate_40,47,1,1
55621,gate_30,32,0,0
56496,gate_40,543,1,1
56587,gate_40,54,1,0
56815,gate_30,202,1,1
56997,gate_40,41,0,0
57321,gate_30,54,0,0
57369,gate_40,399,1,1
57516,gate_30,38,1,1
58289,gate_30,237,1,1
58592,gate_40,85,1,0
59395,gate_30,33,1,1
60619,gate_40,65,1,0
60984,gate_30,139,0,1
62566,gate_40,67,1,0
62700,gate_40,36,1,1
63001,gate_40,33,1,0
63370,gate_30,179,1,1
63478,gate_30,202,1,1
63555,gate_40,43,0,0
63617,gate_30,902,1,1
64309,gate_40,125,1,0
64792,gate_30,269,1,0
